"Mes","Categoria","Sede","Precio","Numero de Ventas"
"1","3","1","5","80"
"1","3","1","9","155"
"1","5","1","9","98"
"1","3","1","10","138"
"1","5","1","8","75"
"1","7","1","17","153"
"1","5","1","5","53"
"1","4","1","10","42"
"1","8","1","49","81"
"1","5","1","5","92"
"1","6","1","7","68"
"1","5","1","10","150"
"1","8","1","35","194"
"1","6","1","19","84"
"1","7","1","22","102"
"1","6","1","21","149"
"1","1","1","25","187"
"1","4","1","15","141"
"1","5","1","10","110"
"1","6","1","23","47"
"1","8","1","18","78"
"1","8","1","48","102"
"1","4","1","8","132"
"1","1","1","13","176"
"1","7","1","29","83"
"1","8","1","45","199"
"1","1","1","28","164"
"1","1","1","32","35"
"1","3","1","5","123"
"1","6","1","25","91"
"1","1","1","27","198"
"1","6","1","13","77"
"1","8","1","29","134"
"1","5","1","5","63"
"1","6","1","15","132"
"1","6","1","18","149"
"1","3","1","13","161"
"1","3","1","12","167"
"1","2","1","17","40"
"1","8","1","31","73"
"1","6","1","19","172"
"1","8","1","41","48"
"1","4","1","7","187"
"1","2","1","12","49"
"1","5","1","9","91"
"1","6","1","13","170"
"1","7","1","22","33"
"1","1","1","16","118"
"1","1","1","28","34"
"1","3","1","7","147"
"1","2","1","17","162"
"1","8","1","22","64"
"1","6","1","7","76"
"1","8","1","49","122"
"1","2","1","5","108"
"1","1","1","19","56"
"1","4","1","13","164"
"1","5","1","10","35"
"1","6","1","11","160"
"1","2","1","10","181"
"1","3","1","14","190"
"1","8","1","36","57"
"1","5","1","6","184"
"1","2","1","18","135"
"1","1","1","15","88"
"1","5","1","6","125"
"1","2","1","5","137"
"1","1","1","32","198"
"1","7","1","19","139"
"1","5","1","8","150"
"1","2","1","11","163"
"1","7","1","17","122"
"1","1","1","26","124"
"1","8","1","50","169"
"1","5","1","10","152"
"1","1","1","22","107"
"1","2","1","14","101"
"1","2","1","17","191"
"1","3","1","8","142"
"1","5","1","8","142"
"1","1","1","29","95"
"1","3","1","8","97"
"1","6","1","11","98"
"1","4","1","5","199"
"1","3","1","12","190"
"1","2","1","5","86"
"1","7","1","17","138"
"1","1","1","28","51"
"1","5","1","10","140"
"1","6","1","25","139"
"1","5","1","9","178"
"1","7","1","28","95"
"1","5","1","9","113"
"1","2","1","17","125"
"1","5","1","9","80"
"1","3","1","6","91"
"1","6","1","23","143"
"1","1","1","26","129"
"1","7","1","28","87"
"2","5","1","8","171"
"2","8","1","29","178"
"2","5","1","7","46"
"2","5","1","6","102"
"2","3","1","5","178"
"2","3","1","5","31"
"2","3","1","9","41"
